No,Nama_Siswa,Kelas,PTS1,PTS2,Kehadiran,RataRata,Status
1,Aisyah Rahma,X-1,88,92,100,90,LULUS
2,Budi Santoso,X-1,72,68,95,70,LULUS
3,Citra Ayu,X-1,55,60,90,57,TIDAK LULUS
4,Dimas Putra,X-1,90,94,100,92,LULUS
5,Eka Prasetyo,X-1,45,52,80,48,TIDAK LULUS
6,Fajar Nugraha,X-2,78,82,100,80,LULUS
7,Gita Permata,X-2,65,70,95,67,TIDAK LULUS
8,Hendra Wijaya,X-2,85,88,98,86,LULUS
9,Intan Permatasari,X-2,50,58,88,54,TIDAK LULUS
10,Joko Susilo,X-2,73,77,97,75,LULUS
11,Kartika Dewi,X-3,92,95,100,93,LULUS
12,Lutfi Hakim,X-3,60,63,92,61,TIDAK LULUS
13,Maya Sari,X-3,81,86,99,83,LULUS
14,Naufal Firdaus,X-3,38,45,75,42,TIDAK LULUS
15,Okta Pratama,X-3,79,83,98,81,LULUS
